postal_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
1029200,IL,2020-07-05,61,75,75,75,75,75,75,75,75
1029200,IL,2020-07-06,61,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9
1029200,IL,2020-07-07,61,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9
1029200,IL,2020-07-08,61,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9
1029201,IL,2020-07-05,61,75,75,75,75,75,75,75,75
1029201,IL,2020-07-06,61,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9
1029201,IL,2020-07-07,61,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9
1029201,IL,2020-07-08,61,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9
2511500,IL,2020-07-05,67.8,77.2,88,50,76,95,13.9,15.1,16.3
1231500,IL,2020-07-05,63.5,76.8,92,35,67,97,11.9,13.1,14.4
1232000,IL,2020-07-05,63.5,76.8,92,35,67,97,11.9,13,14.4
1242100,IL,2020-07-05,63,76.6,92,33,65,95,11.4,12.6,14
1380200,IL,2020-07-05,63.6,77,92,36,68,97,12,13.2,14.5
1380500,IL,2020-07-05,63.7,77.1,92,36,68,97,12.1,13.3,14.6
2012900,IL,2020-07-05,65.3,77.9,92,39,70,97,12.6,13.9,15.3
1216000,IL,2020-07-05,61.3,74.1,88.5,38,70,98,11.9,13,14.4
1225000,IL,2020-07-05,61,73.9,88.5,35,67,95,11.2,12.4,14
2014500,IL,2020-07-05,68.3,77.6,88.5,49,75,95,13.9,15,16.2
1922000,IL,2020-07-05,66.6,79,92.5,36,68,96,12.2,13.7,15.3
2010800,IL,2020-07-05,64.1,77.7,92.5,37,68,97,12.2,13.4,14.8
2010900,IL,2020-07-05,64.1,77.6,92.5,37,68,97,12.2,13.4,14.8
2012400,IL,2020-07-05,65.2,78.1,92.5,38,69,97,12.5,13.8,15.1
1249300,IL,2020-07-05,61.2,74.2,89,33,63,92,10.6,12,13.7
1380600,IL,2020-07-05,65.4,76.7,89,46,74,96,13.1,14.4,15.6
2049400,IL,2020-07-05,69,78.2,89,48,73,95,13.8,14.9,16.1
2049600,IL,2020-07-05,69,78.1,89,48,73,95,13.8,14.9,16.2
2512500,IL,2020-07-05,66.5,77.1,89,47,75,96,13.5,14.7,16
